  Blue Ridge Orthopedic Partners PC | COV-000699 | Debt Service Coverage of Borrower | 1.3 | 1.41 | Compliant | 2026-03-31 | Quarterly | In Progress | Minimum Debt Service Coverage Ratio of 1.30x for the practice on a trailing twelve month basis, tested quarterly. THE Q2 2026 TEST IS OVERDUE: the certificate was due 19 August 2026 and has not been received.
  Blue Ridge Orthopedic Partners PC | COV-000700 | Debt Service Coverage with and without Distributions | 1.2 | 1.34 | Compliant | 2026-06-30 | Quarterly | Compliant | Minimum Fixed Charge Coverage Ratio of 1.20x, tested quarterly, measured with and without physician distributions.
  Blue Ridge Orthopedic Partners PC | COV-000701 | Fixed Asset Purchases | 1500000 | 1870000 | Exception | 2026-06-30 | Annually | Exception | Unfinanced capital expenditure may not exceed $1,500,000 in any fiscal year without the prior written consent of the bank.
  Blue Ridge Orthopedic Partners PC | COV-000702 | Life Insurance | 5000000 | 6000000 | Compliant | 2026-02-13 | Annually | Compliant | Key person condition: the practice shall maintain key person life insurance of not less than $5,000,000 on Dr Alan Whitfield and Dr Samuel Okonkwo in aggregate, collaterally assigned to the bank, with evidence delivered annually.
  Blue Ridge Orthopedic Partners PC | COV-000703 | Rent Roll | 90 | 96 | Compliant | 2026-06-30 | Semi-Annually | Compliant | Loan level: the medical office building shall maintain leased occupancy of not less than 90 percent, evidenced by a certified rent roll delivered semi-annually.
  Blue Ridge Orthopedic Partners PC | COV-000704 | Collateral Insurance | 6350000 | 6800000 | Compliant | 2026-04-30 | Annually | Compliant | Loan level: the surgery centre shall insure the leasehold improvements and the equipment for not less than $6,350,000 with the bank named as lenders loss payee, evidence delivered annually.
  Cascade Software Solutions Inc | COV-000709 | Financial Indicators | 30000000 | 34100000 | Compliant | 2026-06-30 | Quarterly | Compliant | Minimum Annual Recurring Revenue of $30,000,000, tested quarterly on the last day of each fiscal quarter.
  Cascade Software Solutions Inc | COV-000710 | Minimum Liquidity | 3000000 | 4600000 | Compliant | 2026-06-30 | Quarterly | Compliant | Minimum liquidity of $3,000,000, being unrestricted cash plus undrawn availability under the recurring revenue revolver, tested quarterly.
  Cascade Software Solutions Inc | COV-000711 | Leverage | 3.5 | 3.7 | Exception | 2026-06-30 | Quarterly | Exception | Maximum net leverage of 4.00x through 31 March 2026, stepping down to 3.50x from the quarter ending 30 June 2026 and holding at 3.50x thereafter.
  Cascade Software Solutions Inc | COV-000712 | Sales Report | 90 | 92 | Compliant | 2026-06-30 | Quarterly | Compliant | Minimum gross recurring revenue retention of 90 percent, measured on a trailing twelve month basis and reported quarterly with the compliance certificate.
  EverPetal Logistics | COV-000029 | Debt Service Coverage of Borrower | 1.5 | None | Exception | 2025-12-02 | None | Exception | None
  Hartwell Precision Manufacturing LLC | COV-000646 | Debt Service Coverage of Borrower | 1.25 | 1.38 | Compliant | 2026-07-15 | Quarterly | Compliant | Minimum Debt Service Coverage Ratio of 1.25x, tested quarterly on a trailing-12-month basis.
  Hartwell Precision Manufacturing LLC | COV-000647 | Maximum Debt to Worth | 3 | 2.42 | Compliant | 2026-07-15 | Quarterly | Compliant | Maximum Debt to Tangible Net Worth of 3.00x, tested quarterly.
  Hartwell Precision Manufacturing LLC | COV-000648 | Minimum Liquidity | 5000000 | 6200000 | Compliant | 2026-07-15 | Quarterly | Compliant | Minimum unrestricted liquidity of $5,000,000, tested quarterly.
  Hartwell Precision Manufacturing LLC | COV-000649 | Debt Service Coverage with and without Distributions | 1.15 | 1.31 | Compliant | 2026-07-15 | Quarterly | Compliant | Minimum Fixed Charge Coverage Ratio of 1.15x, tested quarterly on a trailing-12-month basis.
  Hartwell Precision Manufacturing LLC | COV-000650 | Accounts Receivable | 80 | 80 | Compliant | 2026-06-30 | Monthly | Compliant | Monthly borrowing base certificate with advances limited to 80% of eligible accounts receivable plus 50% of eligible inventory.
  Hartwell Precision Manufacturing LLC | COV-000651 | Term Covenants | None | None | None | None | One-Off | In Progress | Kokomo plant expansion to reach substantial completion and receive a certificate of occupancy by 1 November 2026.
  Lakeshore Dental Supply Distributors Inc | COV-000723 | Debt Service Coverage of Borrower | 1.1 | 1.24 | Compliant | 2026-06-30 | Quarterly | Compliant | Minimum Fixed Charge Coverage Ratio of 1.10x, tested quarterly on a trailing twelve month basis.
  Lakeshore Dental Supply Distributors Inc | COV-000724 | Minimum Liquidity | 1500000 | 1180000 | Exception | 2026-04-30 | Monthly | Exception | Minimum availability block of $1,500,000 under the asset based revolving line, tested on each monthly borrowing base certificate.
  Lakeshore Dental Supply Distributors Inc | COV-000725 | Global Debt Service Coverage | 1 | 1.06 | Compliant | 2026-04-30 | Quarterly | Compliant | Springing global debt service coverage of 1.00x, tested only while availability is below $2,250,000 and for the two consecutive testing periods that follow.
  Lakeshore Dental Supply Distributors Inc | COV-000726 | Accounts Receivable | 5 | 2.4 | Compliant | 2026-02-13 | Semi-Annually | overdue | Semi-annual field examination of accounts receivable and inventory by the bank or its agent. Verified variance against the reported borrowing base may not exceed 5 percent.
  Meridian Coastal Logistics LLC | COV-000695 | Debt Service Coverage of Borrower | 1.25 | 1.18 | Waived | 2026-07-20 | Quarterly | Waived | Minimum Debt Service Coverage Ratio of 1.25x, tested quarterly on a trailing twelve month basis.
  Meridian Coastal Logistics LLC | COV-000696 | Maximum Debt to Worth | 3.5 | 2.08 | Compliant | 2026-06-30 | Quarterly | Compliant | Maximum senior funded debt to tangible net worth of 3.50x, tested quarterly.
  Meridian Coastal Logistics LLC | COV-000697 | Accounts Receivable | 80 | 65 | Compliant | 2026-07-31 | Monthly | Compliant | Borrowing base availability: advances under the revolving line may not exceed 80 percent of eligible receivables plus 50 percent of eligible inventory. Certificate due monthly within 20 days of month end.
  Meridian Coastal Logistics LLC | COV-000698 | Minimum Liquidity | 2000000 | 2900000 | Compliant | 2026-06-30 | Quarterly | Compliant | Minimum unrestricted liquidity of $2,000,000, being unrestricted cash plus availability under the revolving line, tested quarterly.
  Northgate Multifamily Investors LLC | COV-000713 | Debt Service Coverage of Borrower | 1.25 | 1.42 | Compliant | 2026-06-30 | Quarterly | Compliant | Northgate Ridge: minimum property debt service coverage ratio of 1.25x, tested quarterly on a trailing twelve month basis at the property level.
  Northgate Multifamily Investors LLC | COV-000714 | Debt Service Coverage of Borrower | 1.25 | 1.33 | Compliant | 2026-06-30 | Quarterly | Compliant | Northgate Park Place: minimum property debt service coverage ratio of 1.25x, tested quarterly on a trailing twelve month basis at the property level.
  Northgate Multifamily Investors LLC | COV-000715 | Debt Service Coverage of Borrower | 1.25 | 1.27 | Compliant | 2026-06-30 | Quarterly | Compliant | Northgate Crossing: minimum property debt service coverage ratio of 1.25x, tested quarterly from the first full quarter after conversion of the bridge loan to permanent.
  Northgate Multifamily Investors LLC | COV-000716 | Leverage | 70 | 68.4 | Compliant | 2026-05-27 | Annually | Compliant | Maximum portfolio loan to value of 70 percent, tested annually against the most recent appraisals of the three properties.
  Northgate Multifamily Investors LLC | COV-000717 | Rent Roll | 90 | 87 | Exception | 2026-08-31 | Monthly | Waived | Minimum physical occupancy of 90 percent per property, evidenced by a monthly rent roll and operating statement delivered within 20 days of month end.
