  Blue Ridge Orthopedic Partners PC | COL-000792 | a33bb000000lBWqAAM | 12400000 | Owner-occupied medical office building, 74,000 sq ft on 6.4 acres, built 2014 and expanded 2021. Clinic, imaging suite and the ground floor surgery centre. [C360-SEED-2026-09]
  Blue Ridge Orthopedic Partners PC | COL-000793 | a33bb000000lBWtAAM | 2900000 | Three level 268 space parking structure adjoining the medical office building, completed 2024 and serving the clinic, the imaging suite and the surgery centre. [C360-SEED-2026-09]
  Blue Ridge Orthopedic Partners PC | COL-000794 | a33bb000000lBWiAAM | 5200000 | Ambulatory surgery centre build-out: four operating rooms, two procedure rooms, sterile processing, medical gas, HVAC and generator, 18,400 sq ft on the ground floor of the medical office building. [C360-SEED-2026-09]
  Blue Ridge Orthopedic Partners PC | COL-000795 | a33bb000000lBWaAAM | 1150000 | Surgical tables, arthroscopy towers, C-arm imaging, anaesthesia machines, sterilisers and patient monitoring, per the equipment schedule to the note. [C360-SEED-2026-09]
  Blue Ridge Orthopedic Partners PC | COL-000796 | a33bb000000lBWaAAM | 2050000 | 1.5T wide-bore MRI, digital radiography suite and PACS, installed 2025 and expanded with a second imaging bay in 2026. [C360-SEED-2026-09]
  Blue Ridge Orthopedic Partners PC | COL-000797 | a33bb000000lBWZAA2 | 7600000 | Assignment of all patient, commercial payor, Medicare and Medicare Advantage receivables, stated net of contractual allowances. [C360-SEED-2026-09]
  Blue Ridge Orthopedic Partners PC | COL-000798 | a33bb000000lBWbAAM | 3400000 | Blanket lien on all other business assets of the practice: clinical and office equipment, general intangibles, payor contracts, the practice management system and the acquired charts of the Skyland group. [C360-SEED-2026-09]
  Cascade Software Solutions Inc | COL-000805 | a33bb000000lBWZAA2 | 4200000 | First blanket UCC lien on all present and future accounts receivable, subscription billings and proceeds. [C360-SEED-2026-09]
  Cascade Software Solutions Inc | COL-000806 | a33bb000000lBWbAAM | 21000000 | First blanket UCC lien on all general intangibles, including the source code, registered trademarks, domain names, patents and the subscription contract base. [C360-SEED-2026-09]
  Cascade Software Solutions Inc | COL-000807 | a33bb000000lBWRAA2 | 58000000 | Pledge by Cascade TopCo LLC of 100 percent of the issued share capital of Cascade Software Solutions Inc, with certificates and stock powers held by the bank. [C360-SEED-2026-09]
  Cascade Software Solutions Inc | COL-000808 | a33bb000000lBWaAAM | 1150000 | Compute, storage and network hardware in the Hillsboro and Reno colocation halls, per the equipment schedule. [C360-SEED-2026-09]
