  001bb00001Ld0pxAAB | Blue Ridge Orthopedic Partners PC | Healthcare | NAICS 621111 | rev 41000000 | emp None | Asheville, NC | Physician-owned orthopaedic and sports medicine practice, founded 1998. Nineteen physicians and 214 staff across three w
  001bb00001Ld14VAAR | Cascade Software Solutions Inc | Technology | NAICS 513210 | rev 34000000 | emp None | Portland, OR | Vertical SaaS provider for field service and workforce scheduling. $34.0MM of annual recurring revenue, 96 percent subsc
  001bb00000O40UYAAZ | EverPetal Logistics | Florist | NAICS None | rev None | emp 223 | None, None | 
  001bb00001I7NZkAAN | Hartwell Industrial Holdings LLC | Finance | NAICS 551112 | rev 92400000 | emp 6 | Fort Wayne, IN | Hartwell Industrial Holdings LLC is the family holding company for the Hartwell group, formed in 2001 to hold the member
  001bb00001I7VCHAA3 | Hartwell Logistics LLC | Transportation | NAICS 484121 | rev 7400000 | emp 38 | Kokomo, IN | Hartwell Logistics LLC is the group's dedicated freight and distribution arm, formed in 2014 to carry finished goods fro
  001bb00001I7FPNAA3 | Hartwell Precision Manufacturing LLC | Manufacturing | NAICS 332710 | rev 64200000 | emp 500 | Fort Wayne, IN | Hartwell Precision Manufacturing LLC is a privately held precision machining and fabrication business serving aerospace,
  001bb00001LcIAeAAN | Lakeshore Dental Supply Distributors Inc | Healthcare | NAICS 423450 | rev 147000000 | emp None | Milwaukee, WI | Wholesale distributor of dental and orthodontic consumables, small equipment and operatory furniture to 4,100 practices 
  001bb00001Ld0ZqAAJ | Meridian Coastal Logistics LLC | Transportation | NAICS 484121 | rev 88000000 | emp None | Savannah, GA | Regional truckload carrier and third party logistics provider serving the Port of Savannah. 72 tractors, 140 trailers, 3
  001bb00001LcuLBAAZ | Northgate Crossing LLC | Other | NAICS 531110 | rev 6300000 | emp None | Charlotte, NC | Single-purpose entity holding title to Northgate Crossing, 192 units in the Steele Creek submarket, mid-way through a va
  001bb00001LcuL8AAJ | Northgate Multifamily Investors LLC | Other | NAICS 531110 | rev 29000000 | emp None | Charlotte, NC | Sponsor and borrower of record for the Northgate multifamily portfolio. Owns and operates 618 apartment units across thr
  001bb00001LcuLAAAZ | Northgate Park Place LLC | Other | NAICS 531110 | rev 9100000 | emp None | Charlotte, NC | Single-purpose entity holding title to Northgate Park Place, 186 stabilised units in the Park Road submarket. 100 percen
  001bb00001LcuLCAAZ | Northgate Residential Management LLC | Other | NAICS 531311 | rev 2400000 | emp None | Charlotte, NC | Affiliated property management company. Manages all three Northgate communities under a three percent of gross receipts 
  001bb00001LcuL9AAJ | Northgate Ridge Apartments LLC | Other | NAICS 531110 | rev 12400000 | emp None | Charlotte, NC | Single-purpose entity holding title to Northgate Ridge Apartments, 240 stabilised units in the University City submarket
  001bb00001DLtRMAA1 | Piedmont Precision Components, Inc. | Manufacturing | NAICS 332710 | rev 64500000 | emp 182 | Greensboro, NC | My manual test change
  001bb00001Ld1HOAAZ | Prairie Ag GP LLC | Agriculture | NAICS 111150 | rev 520000 | emp None | Ames, IA | General partner of Prairie Ag Holdings LP, holding a 1 percent general partnership interest and all management authority
  001bb00001Ld1HNAAZ | Prairie Ag Holdings LP | Agriculture | NAICS 111150 | rev 52000000 | emp None | Ames, IA | Family owned Iowa limited partnership farming 8,900 acres of corn and soybeans across Story, Boone and Hamilton counties
  001bb00001Ld0rbAAB | Sunbelt Airport Hotel LLC | Hospitality | NAICS 721110 | rev 19800000 | emp None | Orlando, FL | Single purpose entity, 100 percent owned by Sunbelt Hospitality Group Inc. Title holder of the 218 key select service ho
  001bb00001Ld0rZAAR | Sunbelt Hospitality Group Inc | Hospitality | NAICS 721110 | rev 63000000 | emp None | Orlando, FL | Owner and manager of two full service hotels in the Orlando market, 486 keys in total. Holds the franchise licences, emp
  001bb00001Ld0raAAB | Sunbelt Lakeside Hotel LLC | Hospitality | NAICS 721110 | rev 27500000 | emp None | Windermere, FL | Single purpose entity, 100 percent owned by Sunbelt Hospitality Group Inc. Title holder of the 268 key Lakeside resort h
