  Blue Ridge Orthopedic Partners PC | Blue Ridge Orthopedic Partners PC - Equipment - $1,800,000.00 | Commercial | Non-Real Estate | Equipment | 1800000 | 1480000 | 6.95 | 2030-06-30 | 60 | Installment | None | None
  Blue Ridge Orthopedic Partners PC | Blue Ridge Orthopedic Partners PC - Equipment - $750,000.00 | Commercial | Non-Real Estate | Equipment | 750000 | 615000 | 7.25 | 2030-03-31 | 60 | Installment | None | None
  Blue Ridge Orthopedic Partners PC | Blue Ridge Orthopedic Partners PC - Line of Credit - $3,000,000.00 | Commercial | Non-Real Estate | Line of Credit | 3000000 | 1950000 | 8 | 2028-01-31 | 24 | Revolving Line Of Credit | None | None
  Blue Ridge Orthopedic Partners PC | Blue Ridge Orthopedic Partners PC - Purchase - $9,200,000.00 | Commercial | Real Estate | Purchase | 9200000 | 8760000 | 6.35 | 2034-11-15 | 120 | Installment | None | None
  Blue Ridge Orthopedic Partners PC | Blue Ridge Orthopedic Partners PC - Term - $2,100,000.00 | Commercial | Real Estate | Term | 2100000 | 1985000 | 6.6 | 2034-11-15 | 120 | Installment | None | None
  Blue Ridge Orthopedic Partners PC | Blue Ridge Orthopedic Partners PC - Term - $4,400,000.00 | Commercial | Non-Real Estate | Term | 4400000 | 3960000 | 7.1 | 2032-03-31 | 84 | Installment | None | None
  Blue Ridge Orthopedic Partners PC | Blue Ridge Orthopedic Partners PC - Term - $6,500,000.00 | Commercial | Non-Real Estate | Term | 6500000 | 5850000 | 7.35 | 2032-09-30 | 84 | Installment | None | None
  Cascade Software Solutions Inc | Cascade Software Solutions Inc - Equipment - $600,000.00 | Commercial | Non-Real Estate | Equipment | 600000 | 525000 | 7.15 | 2030-06-30 | 48 | Installment | None | None
  Cascade Software Solutions Inc | Cascade Software Solutions Inc - Line of Credit - $350,000.00 | Commercial | Non-Real Estate | Line of Credit | 350000 | 285000 | 2.25 | 2027-06-30 | 12 | Revolving Line Of Credit | None | None
  Cascade Software Solutions Inc | Cascade Software Solutions Inc - Line of Credit - $5,000,000.00 | Commercial | Non-Real Estate | Line of Credit | 5000000 | 3250000 | 8 | 2027-11-14 | 24 | Revolving Line Of Credit | None | None
  Cascade Software Solutions Inc | Cascade Software Solutions Inc - Term - $2,000,000.00 | Commercial | Non-Real Estate | Term | 2000000 | 1880000 | 7.6 | 2031-11-14 | 72 | Installment | None | None
  Cascade Software Solutions Inc | Cascade Software Solutions Inc - Term - $4,500,000.00 | Commercial | Non-Real Estate | Term | 4500000 | 4275000 | 7.9 | 2031-04-20 | 60 | Installment | None | None
  Cascade Software Solutions Inc | Cascade Software Solutions Inc - Term - $500,000.00 | Commercial | Non-Real Estate | Term | 500000 | 500000 | 8.25 | 2027-04-20 | 12 | Single Pay | None | None
  Cascade Software Solutions Inc | Cascade Software Solutions Inc - Term - $7,000,000.00 | Commercial | Non-Real Estate | Term | 7000000 | 6300000 | 7.45 | 2031-11-14 | 72 | Installment | None | None
  EverPetal Logistics | EverPetal Logistics - Term - $450,000.00 | Commercial | Real Estate | Term | 450000 | None | 6.58 | None | 32 | None | None | None
  EverPetal Logistics | Quantum Group - Term - $1,751,151.00 | Commercial | Real Estate | Term | 1751151 | 1314179.84 | 8.47 | None | 19 | None | None | None
  EverPetal Logistics | Quantum Group - Term - $1,873,220.00 | Commercial | Real Estate | Term | 1873220 | 1643576.9 | 6.54 | None | 65 | None | None | None
  Hartwell Precision Manufacturing LLC | Hartwell Precision Manufacturing LLC - Construction - $12,000,000.00 | Commercial | Real Estate | Construction | 12000000 | 7350000 | 8.1 | 2031-03-15 | 60 | Construction Permanent | None | None
  Hartwell Precision Manufacturing LLC | Hartwell Precision Manufacturing LLC - Equipment - $1,500,000.00 | Commercial | Non-Real Estate | Equipment | 1500000 | None | 6.6 | 2033-01-31 | 84 | Installment | None | None
  Hartwell Precision Manufacturing LLC | Hartwell Precision Manufacturing LLC - Equipment - $3,500,000.00 | Commercial | Non-Real Estate | Equipment | 3500000 | 3010000 | 7.35 | 2031-03-15 | 60 | Installment | None | None
  Hartwell Precision Manufacturing LLC | Hartwell Precision Manufacturing LLC - Equipment - $8,000,000.00 | Commercial | Non-Real Estate | Equipment | 8000000 | 5900000 | 6.85 | 2031-03-15 | 60 | Installment | None | None
  Hartwell Precision Manufacturing LLC | Hartwell Precision Manufacturing LLC - Line of Credit - $15,000,000.00 | Commercial | Non-Real Estate | Line of Credit | 15000000 | 9200000 | 7.6 | 2027-03-15 | 24 | Revolving Line Of Credit | None | None
  Hartwell Precision Manufacturing LLC | Hartwell Precision Manufacturing LLC - Line of Credit - $2,500,000.00 | Commercial | Non-Real Estate | Line of Credit | 2500000 | 1150000 | 7.85 | 2027-03-15 | 24 | Revolving Line Of Credit | None | None
  Hartwell Precision Manufacturing LLC | Hartwell Precision Manufacturing LLC - Purchase - $5,000,000.00 | Commercial | Real Estate | Purchase | 5000000 | 4420000 | 6.25 | 2031-03-15 | 60 | Installment | None | None
  Hartwell Precision Manufacturing LLC | Hartwell Precision Manufacturing LLC - Purchase - $6,500,000.00 | Commercial | Real Estate | Purchase | 6500000 | None | 6.35 | 2036-01-31 | 120 | Installment | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Equipment - $400,000.00 | Commercial | Non-Real Estate | Equipment | 400000 | 356000 | 6.8 | 2030-02-27 | 48 | Installment | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Equipment - $900,000.00 | Commercial | Non-Real Estate | Equipment | 900000 | 770000 | 6.85 | 2030-11-14 | 60 | Installment | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Line of Credit - $15,000,000.00 | Commercial | Non-Real Estate | Line of Credit | 15000000 | 9750000 | 8 | 2027-11-14 | 24 | Revolving Line Of Credit | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Line of Credit - $300,000.00 | Commercial | Non-Real Estate | Line of Credit | 300000 | 285000 | 2 | 2027-02-27 | 12 | Single Pay | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Purchase - $5,900,000.00 | Commercial | Real Estate | Purchase | 5900000 | 5563000 | 6.45 | 2034-06-20 | 120 | Installment | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Term - $1,100,000.00 | Commercial | Non-Real Estate | Term | 1100000 | 1006000 | 6.95 | 2031-02-27 | 60 | Installment | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Term - $2,400,000.00 | Commercial | Non-Real Estate | Term | 2400000 | 2197000 | 7.25 | 2031-02-27 | 60 | Installment | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Term - $3,500,000.00 | Commercial | Non-Real Estate | Term | 3500000 | 3168000 | 7.15 | 2032-11-14 | 84 | Installment | None | None
  Lakeshore Dental Supply Distributors Inc | Lakeshore Dental Supply Distributors Inc - Term - $450,000.00 | Commercial | Real Estate | Term | 450000 | 380000 | 6.9 | 2032-04-15 | 84 | Installment | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Equipment - $1,400,000.00 | Commercial | Non-Real Estate | Equipment | 1400000 | 1302000 | 7.2 | 2030-06-15 | 48 | Installment | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Equipment - $1,500,000.00 | Commercial | Non-Real Estate | Equipment | 1500000 | 1305000 | 7.1 | 2031-02-28 | 60 | Installment | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Equipment - $1,800,000.00 | Commercial | Non-Real Estate | Equipment | 1800000 | 1617000 | 7.05 | 2030-04-15 | 48 | Installment | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Equipment - $2,500,000.00 | Commercial | Non-Real Estate | Equipment | 2500000 | 2180000 | 6.95 | 2031-02-28 | 60 | Installment | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Equipment - $800,000.00 | Commercial | Non-Real Estate | Equipment | 800000 | 780000 | 7.3 | 2030-08-17 | 48 | Installment | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Line of Credit - $12,000,000.00 | Commercial | Non-Real Estate | Line of Credit | 12000000 | 7800000 | 7.85 | 2028-02-29 | 24 | Revolving Line Of Credit | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Purchase - $1,200,000.00 | Commercial | Real Estate | Purchase | 1200000 | 1162000 | 6.6 | 2036-01-31 | 120 | Installment | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Purchase - $6,500,000.00 | Commercial | Real Estate | Purchase | 6500000 | 6290000 | 6.45 | 2036-01-31 | 120 | Installment | None | None
  Meridian Coastal Logistics LLC | Meridian Coastal Logistics LLC - Term - $3,000,000.00 | Commercial | Non-Real Estate | Term | 3000000 | 2640000 | 7.35 | 2033-02-28 | 84 | Installment | None | None
  Northgate Multifamily Investors LLC | Northgate Multifamily Investors LLC - Construction - $2,200,000.00 | Commercial | Real Estate | Construction | 2200000 | 1540000 | 8.25 | 2028-08-15 | 36 | Draw Down Line Of Credit | None | None
  Northgate Multifamily Investors LLC | Northgate Multifamily Investors LLC - Equipment - $650,000.00 | Commercial | Non-Real Estate | Equipment | 650000 | 556000 | 7.25 | 2030-11-14 | 60 | Installment | None | None
  Northgate Multifamily Investors LLC | Northgate Multifamily Investors LLC - Line of Credit - $1,500,000.00 | Commercial | Real Estate | Line of Credit | 1500000 | 975000 | 8 | 2028-05-15 | 24 | Revolving Line Of Credit | None | None
